0, 2360. 1 0 252 243;
1, 2430. 1 0 259 247;
2, 2600. 0 0 259 247;
3, 2670. 0 0 257 247;
4, 2840. 1 2 257 247;
5, 2910. 1 2 256 245;
6, 3080. 1 2 256 245;
7, 3150. 1 2 253 245;
8, 3320. 1 0 253 245;
9, 3390. 1 0 253 247;
10, 3560. 1 2 253 247;
11, 3630. 1 2 255 245;
12, 3800. 0 0 255 245;
13, 3870. 0 0 256 247;
14, 4040. 0 0 256 247;
15, 4110. 0 0 256 247;
16, 4280. 0 0 256 247;
17, 4350. 0 0 255 248;
18, 4520. 0 1 255 248;
19, 4590. 0 1 255 247;
20, 4760. 1 2 255 247;
21, 4830. 1 2 254 246;
22, 5005. 3 0 254 246;
23, 5070. 3 0 254 245;
24, 5240. 0 2 254 245;
25, 5310. 0 2 262 244;
26, 5480. 0 1 262 244;
27, 5550. 0 1 263 257;
28, 5720. 0 0 263 257;
29, 5815. 0 0 263 257;
30, 5960. 1 0 263 257;
31, 6060. 1 0 263 259;
32, 6200. 1 0 263 259;
33, 6300. 1 0 264 258;
34, 6440. 0 0 264 258;
35, 6540. 0 0 266 259;
36, 6710. 1 2 266 259;
37, 6780. 1 2 265 260;
38, 6950. 1 1 265 260;
39, 7020. 1 1 267 259;
40, 7190. 1 0 267 259;
